group,glps,system,feed,curr,curr_methane,max,min_emissions,curr_manure
ANZ,1,lga,grazing,0.006719894,0.416837467,0.007834164,0.366164174,0.185521575
ANZ,3,lgh,grazing,0.005985648,0.490830804,0.007834164,0.389208868,0.18552159
ANZ,2,lgt,grazing,0.008517769,0.450461702,0.011586308,0.36123984,0.185521641
ANZ,1,mra,mixed,0.007300374,0.441547026,0.012661759,0.324063948,0.185521608
ANZ,3,mrh,mixed,0.00652673,0.45296372,0.013545838,0.373537988,0.185521574
ANZ,2,mrt,mixed,0.009352073,0.4883896,0.016562086,0.350701,0.185521655
ANZ,3,urban,other,0.005348676,0.451221203,NA,NA,0.185521565
ANZ,3,other,other,0.005348676,0.451221203,NA,NA,0.185521576
Baltic,1,lga,grazing,0.007834164,0.470734654,0.007834164,0.366164174,0.154290921
Baltic,3,lgh,grazing,0.007834164,0.470734654,0.007834164,0.389208868,0.154290921
Baltic,2,lgt,grazing,0.011586308,0.461336668,0.011586308,0.36123984,0.163957597
Baltic,1,mra,mixed,0.011196315,0.444053766,0.012661759,0.324063948,0.154290921
Baltic,3,mrh,mixed,0.012096436,0.406510381,0.013545838,0.373537988,0.154290921
Baltic,2,mrt,mixed,0.014776699,0.445146146,0.016562086,0.350701,0.137181057
Baltic,3,urban,other,0.009935412,0.439510262,NA,NA,0.178889941
Baltic,3,other,other,0.009935412,0.439510262,NA,NA,0.137135088
Former USSR,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.137135041
Former USSR,3,lgh,grazing,0.007657378,0.430304577,0.007834164,0.389208868,0.148183307
Former USSR,2,lgt,grazing,0.008280544,0.462254598,0.011586308,0.36123984,0.137134991
Former USSR,1,mra,mixed,0.00958785,0.438213843,0.012661759,0.324063948,0.137135046
Former USSR,3,mrh,mixed,0.011379771,0.424753425,0.013545838,0.373537988,0.137135065
Former USSR,2,mrt,mixed,0.013272609,0.402392712,0.016562086,0.350701,0.130611914
Former USSR,3,urban,other,0.004906097,0.408793765,NA,NA,0.137135004
Former USSR,3,other,other,0.004906097,0.408793765,NA,NA,0.130797924
Rest of South Asia,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141962335
Rest of South Asia,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.179869128
Rest of South Asia,2,lgt,grazing,0.007657378,0.430304577,0.011586308,0.36123984,0.147451315
Rest of South Asia,1,mra,mixed,0.002006006,0.418604155,0.012661759,0.324063948,0.142049635
Rest of South Asia,3,mrh,mixed,0.000478728,0.402878984,0.013545838,0.373537988,0.147451219
Rest of South Asia,2,mrt,mixed,0.006088415,0.442233861,0.016562086,0.350701,0.147451288
Rest of South Asia,3,urban,other,0.00236994,0.423782634,NA,NA,0.141999767
Rest of South Asia,3,other,other,0.00236994,0.423782634,NA,NA,0.141999764
Congo basin,1,lga,grazing,0.00136153,0.403593746,0.007834164,0.366164174,0.125107772
Congo basin,3,lgh,grazing,0.00136153,0.403593746,0.007834164,0.389208868,0.153308304
Congo basin,2,lgt,grazing,0.003832206,0.473569342,0.011586308,0.36123984,0.153317413
Congo basin,1,mra,mixed,0.002194032,0.470221672,0.012661759,0.324063948,0.125107719
Congo basin,3,mrh,mixed,0.003389345,0.421654249,0.013545838,0.373537988,0.143575169
Congo basin,2,mrt,mixed,0.005366033,0.50120952,0.016562086,0.350701,0.153308314
Congo basin,3,urban,other,0.00136153,0.403593746,NA,NA,0.153308304
Congo basin,3,other,other,0.00136153,0.403593746,NA,NA,0.14357522
East Europe,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.130797982
East Europe,3,lgh,grazing,0.005661047,0.416467208,0.007834164,0.389208868,0.139093656
East Europe,2,lgt,grazing,0.005637484,0.374096092,0.011586308,0.36123984,0.153518205
East Europe,1,mra,mixed,0.012661759,0.409732161,0.012661759,0.324063948,0.130611908
East Europe,3,mrh,mixed,0.013545838,0.40817583,0.013545838,0.373537988,0.16689206
East Europe,2,mrt,mixed,0.015134259,0.420495996,0.016562086,0.350701,0.130611807
East Europe,3,urban,other,0.006797594,0.415675985,NA,NA,0.130611811
East Europe,3,other,other,0.006797594,0.415675985,NA,NA,0.130611817
United States,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.17573465
United States,3,lgh,grazing,0.005661047,0.416467208,0.007834164,0.389208868,0.175734679
United States,2,lgt,grazing,0.005637484,0.374096092,0.011586308,0.36123984,0.175734633
United States,1,mra,mixed,0.012652187,0.440530206,0.012661759,0.324063948,0.175734671
United States,3,mrh,mixed,0.013155307,0.393582761,0.013545838,0.373537988,0.175734665
United States,2,mrt,mixed,0.015053512,0.398842611,0.016562086,0.350701,0.175734639
United States,3,urban,other,0.006797594,0.415675985,NA,NA,0.16463638
United States,3,other,other,0.006797594,0.415675985,NA,NA,0.164636292
West Europe,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.132044575
West Europe,3,lgh,grazing,0.005377921,0.412233139,0.007834164,0.389208868,0.13204462
West Europe,2,lgt,grazing,0.002708461,0.36123984,0.011586308,0.36123984,0.132044571
West Europe,1,mra,mixed,0.012661759,0.409732161,0.012661759,0.324063948,0.132044558
West Europe,3,mrh,mixed,0.012346936,0.402972408,0.013545838,0.373537988,0.132044612
West Europe,2,mrt,mixed,0.013338896,0.41698845,0.016562086,0.350701,0.130797962
West Europe,3,urban,other,0.006797594,0.415675985,NA,NA,0.130798058
West Europe,3,other,other,0.006797594,0.415675985,NA,NA,0.13079797
Rest of South Africa,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141542952
Rest of South Africa,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.144248529
Rest of South Africa,2,lgt,grazing,0.007657378,0.430304577,0.011586308,0.36123984,0.14424857
Rest of South Africa,1,mra,mixed,0.00011488,0.440168294,0.012661759,0.324063948,0.144248519
Rest of South Africa,3,mrh,mixed,0.006301383,0.413967021,0.013545838,0.373537988,0.144248567
Rest of South Africa,2,mrt,mixed,0.008311396,0.431861624,0.016562086,0.350701,0.144248566
Rest of South Africa,3,urban,other,0.00580085,0.444725127,NA,NA,0.144248587
Rest of South Africa,3,other,other,0.00580085,0.444725127,NA,NA,0.144248526
North Europe,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.133990504
North Europe,3,lgh,grazing,0.005661047,0.416467208,0.007834164,0.389208868,0.133990525
North Europe,2,lgt,grazing,0.005637484,0.374096092,0.011586308,0.36123984,0.133990471
North Europe,1,mra,mixed,0.012661759,0.409732161,0.012661759,0.324063948,0.133990584
North Europe,3,mrh,mixed,0.013545838,0.40817583,0.013545838,0.373537988,0.133990553
North Europe,2,mrt,mixed,0.015134259,0.420495996,0.016562086,0.350701,0.133990493
North Europe,3,urban,other,0.006797594,0.415675985,NA,NA,0.133990513
North Europe,3,other,other,0.006797594,0.415675985,NA,NA,0.133990475
Balkans,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.14235955
Balkans,3,lgh,grazing,0.007657378,0.430304577,0.007834164,0.389208868,0.140912981
Balkans,2,lgt,grazing,0.009312689,0.438070649,0.011586308,0.36123984,0.142359604
Balkans,1,mra,mixed,0.009848163,0.427339306,0.012661759,0.324063948,0.141785778
Balkans,3,mrh,mixed,0.012259163,0.386316925,0.013545838,0.373537988,0.155930419
Balkans,2,mrt,mixed,0.013675684,0.385352888,0.016562086,0.350701,0.130798003
Balkans,3,urban,other,0.008984971,0.409069154,NA,NA,0.142359575
Balkans,3,other,other,0.008984971,0.409069154,NA,NA,0.130797942
"Mid. east, North Africa",1,lga,grazing,0.00492143,0.475118713,0.007834164,0.366164174,0.14022989
"Mid. east, North Africa",3,lgh,grazing,0.006301383,0.413967021,0.007834164,0.389208868,0.148183307
"Mid. east, North Africa",2,lgt,grazing,0.006494624,0.421009124,0.011586308,0.36123984,0.148874949
"Mid. east, North Africa",1,mra,mixed,0.010620045,0.390813797,0.012661759,0.324063948,0.140584585
"Mid. east, North Africa",3,mrh,mixed,0.010745541,0.373537988,0.013545838,0.373537988,0.148183309
"Mid. east, North Africa",2,mrt,mixed,0.010685846,0.354174662,0.016562086,0.350701,0.162616405
"Mid. east, North Africa",3,urban,other,0.009632757,0.374768504,NA,NA,0.156141297
"Mid. east, North Africa",3,other,other,0.009632757,0.374768504,NA,NA,0.133990593
East Africa,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141542828
East Africa,3,lgh,grazing,0.003832206,0.473569342,0.007834164,0.389208868,0.141542839
East Africa,2,lgt,grazing,0.005348676,0.451221203,0.011586308,0.36123984,0.141542881
East Africa,1,mra,mixed,0.00011488,0.440168294,0.012661759,0.324063948,0.141542849
East Africa,3,mrh,mixed,0.004072302,0.542482072,0.013545838,0.373537988,0.141542855
East Africa,2,mrt,mixed,0.005665484,0.499982832,0.016562086,0.350701,0.141542895
East Africa,3,urban,other,0.005348676,0.451221203,NA,NA,0.176152462
East Africa,3,other,other,0.005348676,0.451221203,NA,NA,0.141542877
South Europe,1,lga,grazing,0.007834164,0.470734654,0.007834164,0.366164174,0.141785689
South Europe,3,lgh,grazing,0.007834164,0.470734654,0.007834164,0.389208868,0.139257312
South Europe,2,lgt,grazing,0.007834164,0.470734654,0.011586308,0.36123984,0.141785752
South Europe,1,mra,mixed,0.010231752,0.436298398,0.012661759,0.324063948,0.141785659
South Europe,3,mrh,mixed,0.011412108,0.433919464,0.013545838,0.373537988,0.146062472
South Europe,2,mrt,mixed,0.014340552,0.393022503,0.016562086,0.350701,0.130797981
South Europe,3,urban,other,0.01356071,0.381394353,NA,NA,0.141785641
South Europe,3,other,other,0.008851012,0.451334683,NA,NA,0.130797987
Rest of Europe,1,lga,grazing,0.005364076,0.421689476,0.007834164,0.366164174,0.205324776
Rest of Europe,3,lgh,grazing,0.007657378,0.430304577,0.007834164,0.389208868,0.148183307
Rest of Europe,2,lgt,grazing,0.008744845,0.46476577,0.011586308,0.36123984,0.133990531
Rest of Europe,1,mra,mixed,0.011765539,0.40806493,0.012661759,0.324063948,0.218370752
Rest of Europe,3,mrh,mixed,0.012590914,0.420546083,0.013545838,0.373537988,0.148183309
Rest of Europe,2,mrt,mixed,0.016562086,0.396477979,0.016562086,0.350701,0.205324657
Rest of Europe,3,urban,other,0.015622029,0.439818236,NA,NA,0.132044634
Rest of Europe,3,other,other,0.012898584,0.425567193,NA,NA,0.132044655
West Africa,1,lga,grazing,0.000334683,0.366164174,0.007834164,0.366164174,0.125107694
West Africa,3,lgh,grazing,0.00011488,0.440168294,0.007834164,0.389208868,0.125107769
West Africa,2,lgt,grazing,0.00011488,0.440168294,0.011586308,0.36123984,0.141542939
West Africa,1,mra,mixed,0.001227155,0.324063948,0.012661759,0.324063948,0.125107676
West Africa,3,mrh,mixed,0.003709512,0.438972965,0.013545838,0.373537988,0.125107678
West Africa,2,mrt,mixed,0.00342046,0.454229915,0.016562086,0.350701,0.125107782
West Africa,3,urban,other,0.001098855,0.406715352,NA,NA,0.125107734
West Africa,3,other,other,0.001098855,0.406715352,NA,NA,0.125107757
Mexico,1,lga,grazing,0.00297001,0.39926972,0.007834164,0.366164174,0.164636198
Mexico,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.164636299
Mexico,2,lgt,grazing,0.005364076,0.421689476,0.011586308,0.36123984,0.164636265
Mexico,1,mra,mixed,0.002738883,0.417065822,0.012661759,0.324063948,0.164636233
Mexico,3,mrh,mixed,0.008427572,0.383372369,0.013545838,0.373537988,0.154391019
Mexico,2,mrt,mixed,0.012674861,0.37857729,0.016562086,0.350701,0.164636236
Mexico,3,urban,other,0.005740304,0.371109149,NA,NA,0.164636232
Mexico,3,other,other,0.005740304,0.371109149,NA,NA,0.154391019
Brazil,1,lga,grazing,0.00297001,0.39926972,0.007834164,0.366164174,0.155254026
Brazil,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.155254057
Brazil,2,lgt,grazing,0.005348676,0.451221203,0.011586308,0.36123984,0.155254138
Brazil,1,mra,mixed,0.003149814,0.395277417,0.012661759,0.324063948,0.155254025
Brazil,3,mrh,mixed,0.00547696,0.405396869,0.013545838,0.373537988,0.155254072
Brazil,2,mrt,mixed,0.009585316,0.41363245,0.016562086,0.350701,0.155254065
Brazil,3,urban,other,0.007834164,0.470734654,NA,NA,0.155254107
Brazil,3,other,other,0.00136153,0.403593746,NA,NA,0.155254063
Rest of South America,1,lga,grazing,0.00297001,0.39926972,0.007834164,0.366164174,0.155082274
Rest of South America,3,lgh,grazing,0.006293282,0.438216918,0.007834164,0.389208868,0.155082283
Rest of South America,2,lgt,grazing,0.005348676,0.451221203,0.011586308,0.36123984,0.155082305
Rest of South America,1,mra,mixed,0.002738883,0.422172522,0.012661759,0.324063948,0.155082278
Rest of South America,3,mrh,mixed,0.005812688,0.397625474,0.013545838,0.373537988,0.154391009
Rest of South America,2,mrt,mixed,0.012374109,0.351205949,0.016562086,0.350701,0.155082319
Rest of South America,3,urban,other,0.007984513,0.451492472,NA,NA,0.155082305
Rest of South America,3,other,other,0.005720106,0.451530254,NA,NA,0.155082279
South Africa,1,lga,grazing,0.001707073,0.444367362,0.007834164,0.366164174,0.144248518
South Africa,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.144248536
South Africa,2,lgt,grazing,0.007657378,0.430304577,0.011586308,0.36123984,0.144248549
South Africa,1,mra,mixed,0.002022273,0.40994349,0.012661759,0.324063948,0.144248517
South Africa,3,mrh,mixed,0.005985648,0.490830804,0.013545838,0.373537988,0.14424857
South Africa,2,mrt,mixed,0.008517769,0.450461702,0.016562086,0.350701,0.144248581
South Africa,3,urban,other,0.009211875,0.444311828,NA,NA,0.14424858
South Africa,3,other,other,0.005961028,0.479265917,NA,NA,0.144248558
China,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141962267
China,3,lgh,grazing,0.003832206,0.473569342,0.007834164,0.389208868,0.148574803
China,2,lgt,grazing,0.006996523,0.438438363,0.011586308,0.36123984,0.137135063
China,1,mra,mixed,0.000605752,0.42171552,0.012661759,0.324063948,0.141962309
China,3,mrh,mixed,0.001948151,0.387411589,0.013545838,0.373537988,0.14857479
China,2,mrt,mixed,0.006996523,0.438438363,0.016562086,0.350701,0.141962332
China,3,urban,other,0.005232426,0.459729019,NA,NA,0.167941374
China,3,other,other,0.005232426,0.459729019,NA,NA,0.137135026
Rest of Centr. America,1,lga,grazing,0.001098855,0.406715352,0.007834164,0.366164174,0.156622305
Rest of Centr. America,3,lgh,grazing,0.002014874,0.389208868,0.007834164,0.389208868,0.148183307
Rest of Centr. America,2,lgt,grazing,0.007657378,0.430304577,0.011586308,0.36123984,0.148874949
Rest of Centr. America,1,mra,mixed,0.00126379,0.436109408,0.012661759,0.324063948,0.143548644
Rest of Centr. America,3,mrh,mixed,0.004191176,0.375814123,0.013545838,0.373537988,0.148183309
Rest of Centr. America,2,mrt,mixed,0.010072685,0.350701,0.016562086,0.350701,0.154390939
Rest of Centr. America,3,urban,other,0.002197413,0.413985589,NA,NA,0.154390963
Rest of Centr. America,3,other,other,0.002197413,0.413985589,NA,NA,0.133990593
Insular SEA,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141956497
Insular SEA,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.141956583
Insular SEA,2,lgt,grazing,0.005900307,0.441761354,0.011586308,0.36123984,0.14866655
Insular SEA,1,mra,mixed,0.003068493,0.426429513,0.012661759,0.324063948,0.141956587
Insular SEA,3,mrh,mixed,0.003548346,0.452935421,0.013545838,0.373537988,0.141956527
Insular SEA,2,mrt,mixed,0.004996177,0.452572298,0.016562086,0.350701,0.148666539
Insular SEA,3,urban,other,0.002014874,0.389208868,NA,NA,0.141956593
Insular SEA,3,other,other,0.002014874,0.389208868,NA,NA,0.141956497
Continental SEA,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.16527827
Continental SEA,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.148574707
Continental SEA,2,lgt,grazing,0.00136153,0.403593746,0.011586308,0.36123984,0.148574744
Continental SEA,1,mra,mixed,0.001899725,0.417264074,0.012661759,0.324063948,0.27695888
Continental SEA,3,mrh,mixed,0.003548346,0.452935421,0.013545838,0.373537988,0.148574725
Continental SEA,2,mrt,mixed,0.002378493,0.458184972,0.016562086,0.350701,0.148574731
Continental SEA,3,urban,other,0.002014874,0.389208868,NA,NA,0.14855502
Continental SEA,3,other,other,0.002014874,0.389208868,NA,NA,0.137135084
South Korea,1,lga,grazing,0.005348676,0.451221203,0.007834164,0.366164174,0.166735778
South Korea,3,lgh,grazing,0.007657378,0.430304577,0.007834164,0.389208868,0.166735778
South Korea,2,lgt,grazing,0.008744845,0.46476577,0.011586308,0.36123984,0.166735778
South Korea,1,mra,mixed,0.007255586,0.437493787,0.012661759,0.324063948,0.166735778
South Korea,3,mrh,mixed,0.01010392,0.410575543,0.013545838,0.373537988,0.166735778
South Korea,2,mrt,mixed,0.012314659,0.450443429,0.016562086,0.350701,0.203057739
South Korea,3,urban,other,0.011694086,0.416689917,NA,NA,0.148574766
South Korea,3,other,other,0.01272646,0.420350701,NA,NA,0.148574827
Japan,1,lga,grazing,0.005348676,0.451221203,0.007834164,0.366164174,0.199509078
Japan,3,lgh,grazing,0.007657378,0.430304577,0.007834164,0.389208868,0.199509078
Japan,2,lgt,grazing,0.008744845,0.46476577,0.011586308,0.36123984,0.223247918
Japan,1,mra,mixed,0.007255586,0.437493787,0.012661759,0.324063948,0.199509078
Japan,3,mrh,mixed,0.01010392,0.410575543,0.013545838,0.373537988,0.206340429
Japan,2,mrt,mixed,0.01337604,0.393781644,0.016562086,0.350701,0.189318949
Japan,3,urban,other,0.012747228,0.419618778,NA,NA,0.189319078
Japan,3,other,other,0.013778934,0.408759006,NA,NA,0.189319015
Pacific islands,1,lga,grazing,0.00236994,0.423782634,0.007834164,0.366164174,0.147074691
Pacific islands,3,lgh,grazing,0.00236994,0.423782634,0.007834164,0.389208868,0.148183307
Pacific islands,2,lgt,grazing,0.00236994,0.423782634,0.011586308,0.36123984,0.148874949
Pacific islands,1,mra,mixed,0.00236994,0.423782634,0.012661759,0.324063948,0.147074691
Pacific islands,3,mrh,mixed,0.00236994,0.423782634,0.013545838,0.373537988,0.148183309
Pacific islands,2,mrt,mixed,0.00236994,0.423782634,0.016562086,0.350701,0.147074691
Pacific islands,3,urban,other,0.00236994,0.423782634,NA,NA,0.156141297
Pacific islands,3,other,other,0.00236994,0.423782634,NA,NA,0.133990593
Turkey,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.140584503
Turkey,3,lgh,grazing,0.005348676,0.451221203,0.007834164,0.389208868,0.141080124
Turkey,2,lgt,grazing,0.005364076,0.421689476,0.011586308,0.36123984,0.140584566
Turkey,1,mra,mixed,0.006600778,0.371716962,0.012661759,0.324063948,0.140584515
Turkey,3,mrh,mixed,0.009460459,0.409112906,0.013545838,0.373537988,0.144053624
Turkey,2,mrt,mixed,0.009233421,0.414543962,0.016562086,0.350701,0.14058454
Turkey,3,urban,other,0.005403397,0.370761481,NA,NA,0.140584556
Turkey,3,other,other,0.004008931,0.395028211,NA,NA,0.140584561
Canada,1,lga,grazing,0.004903276,0.409250651,0.007834164,0.366164174,0.151851374
Canada,3,lgh,grazing,0.005377921,0.412233139,0.007834164,0.389208868,0.148183307
Canada,2,lgt,grazing,0.002708461,0.36123984,0.011586308,0.36123984,0.148874949
Canada,1,mra,mixed,0.009706344,0.413450114,0.012661759,0.324063948,0.151851374
Canada,3,mrh,mixed,0.008607387,0.402439624,0.013545838,0.373537988,0.148183309
Canada,2,mrt,mixed,0.010381915,0.413697564,0.016562086,0.350701,0.175734791
Canada,3,urban,other,0.006797594,0.415675985,NA,NA,0.156141297
Canada,3,other,other,0.006797594,0.415675985,NA,NA,0.133990593
India,1,lga,grazing,0.00011488,0.440168294,0.007834164,0.366164174,0.141999706
India,3,lgh,grazing,0.00011488,0.440168294,0.007834164,0.389208868,0.144723744
India,2,lgt,grazing,0.005348676,0.451221203,0.011586308,0.36123984,0.141999794
India,1,mra,mixed,0.000551889,0.387265121,0.012661759,0.324063948,0.141999719
India,3,mrh,mixed,0.003045288,0.404058598,0.013545838,0.373537988,0.144723744
India,2,mrt,mixed,0.003045288,0.404058598,0.016562086,0.350701,0.14199979
India,3,urban,other,0.00236994,0.423782634,NA,NA,0.141999752
India,3,other,other,0.00236994,0.423782634,NA,NA,0.133990593
