group,glps,min_meat,max_meat,min_meth,max_meth,min_manure,max_manure,min_methane,max_methane
ANZ,grazing,0.005985648,0.008517769,0.416837467,0.490830804,0.185521575,0.288616065,0.468111449,0.55881814
ANZ,mixed,0.00652673,0.009352073,0.441547026,0.4883896,0.185521574,0.288616091,0.468111554,0.558818056
ANZ,other,0.005348676,0.005348676,0.451221203,0.451221203,0.185521565,0.288616053,0.468111531,0.558818115
Balkans,grazing,0.004903276,0.009312689,0.409250651,0.438070649,0.14235955,0.231617672,0.460574052,0.645379251
Balkans,mixed,0.009848163,0.013675684,0.385352888,0.427339306,0.130798003,0.231617699,0.460573892,0.660556449
Balkans,other,0.008984971,0.008984971,0.409069154,0.409069154,0.130797942,0.231617677,0.460574052,0.660556477
Baltic,grazing,0.007834164,0.011586308,0.461336668,0.470734654,0.163957597,0.210409055,0.343774098,0.640687107
Baltic,mixed,0.011196315,0.014776699,0.406510381,0.445146146,0.137181057,0.210409126,0.34377414,0.640687335
Baltic,other,0.009935412,0.009935412,0.439510262,0.439510262,0.137135088,0.210409112,0.343774098,0.640687283
Brazil,grazing,0.00297001,0.005348676,0.39926972,0.451221203,0.155254026,0.242365135,0.299201214,0.527304107
Brazil,mixed,0.003149814,0.009585316,0.395277417,0.41363245,0.155254025,0.242365155,0.299201176,0.527304134
Brazil,other,0.00136153,0.007834164,0.403593746,0.470734654,0.155254063,0.242365187,0.299201275,0.527304112
Canada,grazing,0.002708461,0.005377921,0.36123984,0.412233139,0.148183307,0.179665795,0.451694984,0.591858596
Canada,mixed,0.008607387,0.010381915,0.402439624,0.413697564,0.148183309,0.273132586,0.399992383,0.524436464
Canada,other,0.006797594,0.006797594,0.415675985,0.415675985,0.133990593,0.262074993,0.3787688,0.528445543
China,grazing,0.00011488,0.006996523,0.438438363,0.473569342,0.137135063,0.277138932,0.329182918,0.591858593
China,mixed,0.000605752,0.006996523,0.387411589,0.438438363,0.141962309,0.277138969,0.329182853,0.591858336
China,other,0.005232426,0.005232426,0.459729019,0.459729019,0.137135026,0.277138965,0.301298154,0.544134035
Congo basin,grazing,0.00136153,0.003832206,0.403593746,0.473569342,0.125107772,0.263256164,0.305364992,0.585917199
Congo basin,mixed,0.002194032,0.005366033,0.421654249,0.50120952,0.125107719,0.263256124,0.305365041,0.585917401
Congo basin,other,0.00136153,0.00136153,0.403593746,0.403593746,0.14357522,0.263256082,0.452068971,0.585917343
Continental SEA,grazing,0.00011488,0.005348676,0.403593746,0.451221203,0.148574707,0.277138959,0.334059197,0.591858393
Continental SEA,mixed,0.001899725,0.003548346,0.417264074,0.458184972,0.148574725,0.277139021,0.33405901,0.548745386
Continental SEA,other,0.002014874,0.002014874,0.389208868,0.389208868,0.137135084,0.277139018,0.334059139,0.544133891
East Africa,grazing,0.00011488,0.005348676,0.440168294,0.473569342,0.141542828,0.231778661,0.303502979,0.630310055
East Africa,mixed,0.00011488,0.005665484,0.440168294,0.542482072,0.141542849,0.231778708,0.303502924,0.630310192
East Africa,other,0.005348676,0.005348676,0.451221203,0.451221203,0.141542877,0.231778658,0.303503016,0.630309997
East Europe,grazing,0.004903276,0.005661047,0.374096092,0.416467208,0.130797982,0.153518241,0.545810899,0.551417779
East Europe,mixed,0.012661759,0.015134259,0.40817583,0.420495996,0.130611807,0.193946551,0.477743631,0.62062603
East Europe,other,0.006797594,0.006797594,0.415675985,0.415675985,0.130611811,0.221318605,0.460574182,0.620626288
Former USSR,grazing,0.004903276,0.008280544,0.409250651,0.462254598,0.137134991,0.240754992,0.417461345,0.591858826
Former USSR,mixed,0.00958785,0.013272609,0.402392712,0.438213843,0.130611914,0.240755054,0.343774277,0.640687102
Former USSR,other,0.004906097,0.004906097,0.408793765,0.408793765,0.130797924,0.262074993,0.343774274,0.640686992
India,grazing,0.00011488,0.005348676,0.440168294,0.451221203,0.141999706,0.240754999,0.301297994,0.591858596
India,mixed,0.000551889,0.003045288,0.387265121,0.404058598,0.141999719,0.277138927,0.301297922,0.534688079
India,other,0.00236994,0.00236994,0.423782634,0.423782634,0.133990593,0.262074993,0.301297942,0.528445543
Insular SEA,grazing,0.00011488,0.005900307,0.440168294,0.451221203,0.141956497,0.277139017,0.341642058,0.534688311
Insular SEA,mixed,0.003068493,0.004996177,0.426429513,0.452935421,0.141956527,0.277139103,0.334059013,0.534688332
Insular SEA,other,0.002014874,0.002014874,0.389208868,0.389208868,0.141956497,0.277139083,0.334059212,0.53468836
Japan,grazing,0.005348676,0.008744845,0.430304577,0.46476577,0.223247918,0.22324794,0.462877539,0.46287766
Japan,mixed,0.007255586,0.01337604,0.393781644,0.437493787,0.189318949,0.285208139,0.452269313,0.515663506
Japan,other,0.012747228,0.013778934,0.408759006,0.419618778,0.189319015,0.285208096,0.452269245,0.515663717
Mexico,grazing,0.00297001,0.005364076,0.39926972,0.451221203,0.164636198,0.258595846,0.417901629,0.468256577
Mexico,mixed,0.002738883,0.012674861,0.37857729,0.417065822,0.154391019,0.258595861,0.39748714,0.468256626
Mexico,other,0.005740304,0.005740304,0.371109149,0.371109149,0.154391019,0.258595861,0.417901605,0.468256543
"Mid. east, North Africa",grazing,0.00492143,0.006494624,0.413967021,0.475118713,0.14022989,0.240328774,0.404003139,0.591858596
"Mid. east, North Africa",mixed,0.010620045,0.010745541,0.354174662,0.390813797,0.140584585,0.240328837,0.417135527,0.539888358
"Mid. east, North Africa",other,0.009632757,0.009632757,0.374768504,0.374768504,0.133990593,0.262074993,0.3787688,0.539888261
North Europe,grazing,0.004903276,0.005661047,0.374096092,0.416467208,0.133990471,0.205324787,0.481747014,0.593044583
North Europe,mixed,0.012661759,0.015134259,0.40817583,0.420495996,0.133990493,0.194335314,0.481747106,0.614559811
North Europe,other,0.006797594,0.006797594,0.415675985,0.415675985,0.133990475,0.207706498,0.481747021,0.593044653
Pacific islands,grazing,0.00236994,0.00236994,0.423782634,0.423782634,0.148183307,0.169804914,0.484360623,0.591858596
Pacific islands,mixed,0.00236994,0.00236994,0.423782634,0.423782634,0.148183309,0.16329545,0.484360772,0.524436539
Pacific islands,other,0.00236994,0.00236994,0.423782634,0.423782634,0.133990593,0.262074993,0.3787688,0.528445543
Rest of Centr. America,grazing,0.001098855,0.007657378,0.389208868,0.430304577,0.148183307,0.259637871,0.422962635,0.591858596
Rest of Centr. America,mixed,0.00126379,0.010072685,0.350701,0.436109408,0.143548644,0.270861874,0.397487003,0.524436464
Rest of Centr. America,other,0.002197413,0.002197413,0.413985589,0.413985589,0.133990593,0.270861923,0.3787688,0.528445543
Rest of Europe,grazing,0.005364076,0.008744845,0.421689476,0.46476577,0.133990531,0.240671274,0.476051625,0.612542353
Rest of Europe,mixed,0.011765539,0.016562086,0.396477979,0.420546083,0.148183309,0.240671244,0.476051796,0.612542333
Rest of Europe,other,0.012898584,0.015622029,0.425567193,0.439818236,0.132044634,0.262074993,0.3787688,0.614559919
Rest of South Africa,grazing,0.00011488,0.007657378,0.430304577,0.451221203,0.141542952,0.270268565,0.417748185,0.518864622
Rest of South Africa,mixed,0.00011488,0.008311396,0.413967021,0.440168294,0.144248519,0.270268566,0.303503078,0.518864627
Rest of South Africa,other,0.00580085,0.00580085,0.444725127,0.444725127,0.144248526,0.270268486,0.417748176,0.518864661
Rest of South America,grazing,0.00297001,0.006293282,0.39926972,0.451221203,0.155082274,0.258622687,0.39876198,0.506475245
Rest of South America,mixed,0.002738883,0.012374109,0.351205949,0.422172522,0.154391009,0.258622696,0.398761949,0.506475218
Rest of South America,other,0.005720106,0.007984513,0.451492472,0.451530254,0.155082279,0.258622661,0.39876195,0.506475245
Rest of South Asia,grazing,0.00011488,0.007657378,0.430304577,0.451221203,0.141962335,0.27293321,0.414097258,0.53988817
Rest of South Asia,mixed,0.000478728,0.006088415,0.402878984,0.442233861,0.142049635,0.272933268,0.301297959,0.539887945
Rest of South Asia,other,0.00236994,0.00236994,0.423782634,0.423782634,0.141999764,0.272933257,0.301298014,0.514171706
South Africa,grazing,0.001707073,0.007657378,0.430304577,0.451221203,0.144248518,0.270268613,0.417748218,0.518864614
South Africa,mixed,0.002022273,0.008517769,0.40994349,0.490830804,0.144248517,0.270268573,0.417748191,0.518864602
South Africa,other,0.005961028,0.009211875,0.444311828,0.479265917,0.144248558,0.270268567,0.417748238,0.51886463
South Europe,grazing,0.007834164,0.007834164,0.470734654,0.470734654,0.141785689,0.166724924,0.515549172,0.660556862
South Europe,mixed,0.010231752,0.014340552,0.393022503,0.436298398,0.130797981,0.221318693,0.482681445,0.660556842
South Europe,other,0.008851012,0.01356071,0.381394353,0.451334683,0.130797987,0.166724979,0.460574341,0.660556973
South Korea,grazing,0.005348676,0.008744845,0.430304577,0.46476577,0.203057739,0.242183705,0.469856005,0.512378107
South Korea,mixed,0.007255586,0.012314659,0.410575543,0.450443429,0.203057739,0.242183705,0.469856005,0.512378107
South Korea,other,0.011694086,0.01272646,0.416689917,0.420350701,0.148574766,0.242183762,0.448522545,0.512378068
Turkey,grazing,0.00011488,0.005364076,0.421689476,0.451221203,0.140584503,0.240328736,0.417135409,0.539887973
Turkey,mixed,0.006600778,0.009460459,0.371716962,0.414543962,0.140584515,0.193946678,0.417135403,0.660556553
Turkey,other,0.004008931,0.005403397,0.370761481,0.395028211,0.140584556,0.193946644,0.41713538,0.660556493
United States,grazing,0.004903276,0.005661047,0.374096092,0.416467208,0.175734633,0.273132716,0.378768861,0.496836858
United States,mixed,0.012652187,0.015053512,0.393582761,0.440530206,0.175734639,0.273132733,0.378768752,0.496836858
United States,other,0.006797594,0.006797594,0.415675985,0.415675985,0.164636292,0.273132733,0.378768799,0.496836806
West Africa,grazing,0.00011488,0.000334683,0.366164174,0.440168294,0.125107694,0.263256135,0.303502906,0.63030991
West Africa,mixed,0.001227155,0.003709512,0.324063948,0.454229915,0.125107676,0.263256164,0.303502965,0.630310169
West Africa,other,0.001098855,0.001098855,0.406715352,0.406715352,0.125107734,0.263256082,0.30350298,0.630310023
West Europe,grazing,0.002708461,0.005377921,0.36123984,0.412233139,0.132044571,0.161705399,0.475568293,0.614560208
West Europe,mixed,0.012346936,0.013338896,0.402972408,0.41698845,0.130797962,0.161705433,0.475568192,0.614560434
West Europe,other,0.006797594,0.006797594,0.415675985,0.415675985,0.13079797,0.242365098,0.447147864,0.660556428
