climate_bin,barley,cassava,groundnut,maize,millet,oilpalm,potato,rapeseed,rice,rye,sorghum,soybean,sugarbeet,sugarcane,sunflower,wheat
0,,,,,,,,,,,,,,,,
1,3.0227983,17.10054016,3.462996483,3.82002759,,,37.06599553,1.627965569,4.962272644,,,,,94.31249237,1.931029677,2.783005238
2,2.953594012,18.50664071,1.353668377,8.28829799,1.545145527,15.98999977,43.64970466,1.60912975,5.150877953,3.111075038,2.2241099,2.151292251,60.16563425,93.09753741,2.003887421,2.533043438
3,3.009940831,21.35316893,1.834329094,8.415195199,1.457022121,16.54376065,42.04421236,1.666223488,5.509037082,3.11060007,2.533208651,2.127273149,59.17250469,92.78766182,1.964608289,2.609348587
4,3.349158677,18.70644846,3.216906239,8.781575814,1.770627036,16.62835164,32.54324412,2.053637293,7.231671485,3.190339992,3.817962949,2.479824687,58.25106575,96.45377077,2.034296311,3.680445734
5,3.993461766,18.32406501,3.098867987,8.901869558,1.759083812,19.23593384,33.5092578,2.218251376,7.276752282,3.724014286,4.395674153,2.85309477,57.80201524,89.35991858,2.148815306,4.800032425
6,4.118840748,20.15475958,2.399294062,7.875595081,1.553701541,19.87360527,33.35579398,2.336206102,6.234380843,3.80122438,4.548432236,2.892787212,56.75170454,91.54322967,2.218927869,5.169363503
7,4.277052923,20.49764718,2.290995232,5.816473257,1.544862515,20.0857029,36.0670799,2.344132433,5.696480746,3.867405322,4.13863462,2.7747194,57.71040163,94.05891102,2.366817443,5.347667363
8,3.996503255,19.54994712,2.387855954,5.90711786,1.851963878,20.52374816,34.2885894,2.316510785,5.693251367,3.51452642,3.651715656,2.757892147,60.48246569,93.0521837,2.173467473,4.970702162
9,4.020091645,24.63262177,3.362441301,8.719711685,,,35.08472919,2.198684426,7.413330555,3.569104036,,2.939831853,51.5487175,85.91002655,2.031186501,4.390810826
11,2.88680708,,,,,,44.09498978,1.478424956,,3.07738696,,,60.62700844,,2.020429134,2.319730294
12,2.986648205,,,9.159440917,1.983815908,,43.0672595,1.527063963,,3.057741145,4.449707031,2.068414886,59.08662933,,1.959619392,2.440075192
13,3.125336329,,4.79621315,9.058196,1.991567131,,40.99668219,1.709417005,9.357515063,3.10589461,4.425175805,2.266950922,56.18357305,111.7706375,1.912690398,2.695378263
14,3.440036546,,4.869425,9.129692508,1.977580838,,37.54511093,1.833083493,8.698088481,3.215807831,4.683175323,2.265385548,56.07296103,98.57550392,1.896609923,3.120319614
15,3.916962443,,4.737026737,9.141171792,1.979135545,,33.00791175,2.19538939,8.792645873,3.556331431,4.812209176,2.504867239,54.28771127,96.62405078,1.927637125,4.052451917
16,4.040268488,13.12144649,4.324765085,9.175362259,1.9870885,20.86304092,30.23522973,2.484186325,8.843225354,3.50583392,5.477894161,2.543500296,54.50471746,102.2323814,1.942908089,4.518417756
17,3.797292353,,4.7770634,9.13603666,2.014336348,,27.50162637,2.436834275,8.993472956,3.259741804,5.71154326,2.607226406,52.10275298,,2.017946452,4.595632074
18,4.021317408,,3.776245534,9.000248066,2.014336348,,28.05092052,2.462679128,7.864033755,3.3432936,5.814842606,2.740589045,53.69531316,,1.969630861,5.215795619
19,4.270705478,,3.914180279,9.288574861,,,42.9100589,2.342403603,8.704901695,5.621152639,6.235662937,2.839928741,64.56651052,,2.612533569,5.685616006
20,4.187862192,,,11.22821363,,,64.5041929,2.897175809,,3.124979258,,2.864841104,65.68598811,,3.872489134,5.573983942
21,3.922075197,,4.79621315,10.13991458,1.983815908,,57.28073128,3.018243092,,3.161740884,4.449707031,2.538923104,61.37939947,,2.901395016,4.235005265
22,3.756297156,,4.845855482,9.704797245,1.984765433,,45.25784021,2.085975922,9.357042408,3.223547887,4.387464433,2.38430319,61.05939044,,2.371264478,3.894231106
23,3.852590721,,4.690934872,9.839652992,1.988688715,,47.86138656,2.698833438,9.342456671,3.382297799,4.402334996,2.581869615,61.04508317,100.0721099,2.327343342,4.284695438
24,4.370884355,18.35664469,4.736379819,9.775236963,1.991403563,20.23136902,40.96118739,2.904389651,9.206222794,4.041683763,4.421782145,2.820162028,61.82025428,101.0936091,2.129152462,4.974829819
25,5.326007111,19.40999111,4.692343407,9.546209301,1.99281308,20.92650566,36.7348279,3.217138934,9.211603402,4.759306294,4.473071539,2.85590556,60.34532141,100.5561916,2.108410868,6.207216359
26,5.976015404,19.84432597,4.587886809,9.523087248,2.004567963,21.25684116,35.70852354,3.329054325,9.013557079,5.380924293,4.895049656,2.970355567,60.23129931,97.04009068,2.146758232,7.020883093
27,6.415732545,18.51489067,4.368352442,9.637357674,2.011638223,,39.24662029,3.292097115,8.322276035,5.751229742,5.56079968,3.069118852,63.37619708,100.0637062,2.338919805,7.620020095
28,6.618406985,18.00328541,4.695484075,9.708826901,2.014336348,,41.70100631,3.2963598,8.02790723,6.173273487,5.510845921,3.115804498,68.28538717,96.20986366,2.506874996,7.959205386
29,6.228247722,,5.539575577,9.652247143,,,43.51883065,3.656993628,9.110275745,6.162003477,4.772191048,2.988441547,63.09871292,,2.648693085,7.468128291
30,2.915829308,,4.79621315,12.66659867,,,65.0287438,1.646054149,,3.124979258,,3.140789032,74.59406704,,1.908479317,4.723694335
31,2.964822496,,4.792131852,12.4671435,1.983815908,,49.97864226,1.717566793,,3.124979258,4.407732718,3.041325657,74.26056688,,1.972827425,5.053610093
32,3.020933066,,4.788094347,11.48622994,1.988919004,,55.85600811,1.76723826,9.360924014,3.515647408,4.441628829,3.13635167,72.34369139,111.7706375,2.018210653,4.726654914
33,3.031583573,15.5911209,4.732070668,11.08642483,1.991592028,,44.05983174,2.094921205,9.297236312,3.830094745,4.438446095,2.979953502,73.3633071,103.9663412,1.937798892,4.640070318
34,3.560180151,15.30224416,4.724008961,10.27252268,1.993853257,19.15999985,36.91167948,2.451273538,9.271867458,4.244800579,4.586552911,3.03076069,69.89439981,101.2157354,1.941117332,5.074667729
35,4.114978727,18.45290276,4.667246729,9.634471419,1.998023813,20.30409339,34.85015965,2.621831137,8.93122443,4.387725525,5.030160211,2.98765184,69.24498566,99.38486703,2.052076408,5.331668088
36,4.69124244,19.95102648,4.291364418,9.102453756,1.998483233,20.72224598,29.64573704,2.712135804,8.583297902,5.058507054,5.58058765,2.899575626,68.60932643,97.54295508,2.102268745,5.618157043
37,4.573657054,21.38568103,3.879735175,8.699102339,1.892132911,21.87727547,25.82538243,2.347915899,7.749299719,5.563472034,5.980232844,2.801444162,68.53232824,99.05417872,2.054766472,5.25544057
38,5.620331088,22.38885742,3.741878206,8.574672216,1.879110127,20.86304092,27.47458472,2.012171677,6.917396112,4.975398986,5.503905566,2.747451347,71.92320874,94.92188908,2.088669441,5.429957154
40,3.206671,,4.747334576,11.39937531,,,33.55149841,,,,,,75.55099487,,1.862792277,4.417620659
41,2.923003443,,4.728123594,10.55339163,1.983815908,,33.76893578,1.467916182,9.370472499,,4.357823977,2.644204395,75.28455872,,1.817113891,3.689424931
42,2.719677842,,4.671247325,10.01796197,1.987036491,,37.84669336,1.630594245,9.376409716,3.124979258,4.336405139,2.569167009,75.63935981,111.1595353,1.842844277,4.0430983
43,2.628887493,14.38982102,4.230223574,8.540417762,1.990292817,,32.80392364,1.959673421,9.256803239,4.360798053,4.628448263,2.590617395,74.22469335,108.5401735,1.805447623,3.734748192
44,2.869360608,17.93579033,3.944046233,7.500841902,1.941606202,19.07254304,28.79179465,2.227453188,8.691572286,5.166947359,5.022052205,2.615326738,70.39870191,102.4507949,1.800103531,4.089078416
45,3.02376554,20.43485915,3.67171718,7.329897036,1.922000641,20.16922036,25.81182618,2.204712596,8.141355965,5.063091147,5.21075605,2.684597462,70.42921974,98.02135016,1.802199632,4.27888343
46,3.318337932,20.63180245,3.517192135,7.298018536,1.86409264,20.48616705,23.86326482,2.216376234,7.839924587,5.789321722,5.331664112,2.675233206,69.15352101,96.63552123,1.790195875,4.461655275
47,3.323454735,20.84123672,3.457716641,7.063467152,1.735683884,20.4572635,22.84703348,2.034525331,7.443383866,6.270350456,5.371455314,2.765662762,69.18790388,96.02771074,1.772112732,4.283999767
48,3.366196068,22.88852729,3.297544941,6.86815244,1.692647901,21.0089403,22.88036245,1.86634588,7.122586731,,5.034527671,2.90353579,70.09043121,93.66555941,1.755676433,4.142529698
49,6.876869678,23.97123523,3.239214795,6.641118818,,19.84121628,22.9797691,1.917108654,6.665565542,,4.302118659,2.883394523,,93.9785347,,4.685120212
50,3.206671,,,,1.133212392,,,,4.916747093,,1.055938125,,,,,4.645069599
51,3.139447419,13.45942624,3.042042951,10.61506043,1.836576005,,34.19065965,1.488348758,,,1.176445365,2.609894276,75.55099487,85.0765508,1.822716344,4.515825627
52,2.769127192,14.4371972,3.367286775,5.913410113,1.976220519,,30.91047997,1.502870908,7.607047294,,3.872992427,2.500629962,74.8045912,110.4029508,1.78415575,4.505503829
53,2.498582951,14.68195674,3.04528266,5.230108103,1.946230759,19.15999985,28.2647834,1.558974155,7.783296044,6.270350456,4.746967297,2.53997019,75.97844842,108.0186107,1.705024889,4.496867524
54,2.681868777,15.82313614,2.774103247,5.335442142,1.851467856,19.1324996,23.99074033,1.613333692,7.295701861,4.379533768,4.783775873,2.593427887,76.08898392,98.55186887,1.656728339,4.303418917
55,2.771296406,18.4653927,2.893365234,5.338215485,1.780717923,20.09533934,23.85834105,1.626690284,7.097857732,6.04511404,4.775586265,2.792996687,74.11317932,94.8183571,1.66965397,4.393356378
56,3.299509179,18.8457329,2.950016141,5.640214429,1.729143748,20.08438132,23.47720779,1.62534935,6.928436332,6.075968793,4.506583203,2.758973391,71.71450297,93.7217899,1.686737472,4.160926891
57,3.070476362,20.44616779,3.026311071,5.507507465,1.621470565,20.10602634,22.82614747,1.535218699,7.09707014,,4.241040798,2.912253787,,91.23683439,1.63357144,3.840986647
58,,23.00666713,2.976720612,5.644739365,1.572097874,20.94983213,21.96189683,1.526095552,7.704070186,,4.274327474,2.983067637,,92.27365184,1.671241879,3.720628131
59,,20.31334474,2.847093761,4.834922013,,21.40486307,23.16736395,,6.104226915,,4.66065836,2.895005429,,91.50095933,,4.13585043
60,,15.09519355,1.432789087,3.00999999,0.61486625,,22.68994331,,4.987564445,,1.089412358,,,74.13583069,1.391001701,4.343082428
61,3.206671,15.464798,1.490787447,2.956856525,1.730686887,,22.88820568,,5.7994584,,1.753431811,1.719363264,,90.79373139,1.391001701,4.625583839
62,2.967331039,13.76299285,1.885331354,3.243365449,1.789870708,16.70580624,23.44221958,1.471380894,6.191756709,,3.040225522,2.227221111,75.55099487,102.4880047,1.395516638,4.574102807
63,2.515202416,14.12959245,1.96671459,3.497921665,1.817990744,17.93246705,23.74949025,1.512533344,6.471944186,,3.424052695,2.16006739,74.99517822,102.8672948,1.41308297,4.555432379
64,2.858764657,15.24550276,2.00448067,3.779688656,1.647516456,18.2242875,22.95665488,1.440109563,5.807592738,,2.921927095,2.424386581,,92.24778116,1.501456318,4.241584819
65,3.108547932,15.45563784,2.284009982,4.012181351,1.578158295,18.73409281,22.94822421,1.475183219,5.633074149,,2.891075119,2.619556506,67.47000122,90.46469075,1.518091535,4.152355025
66,3.254168053,16.35120994,2.283864253,4.047964759,1.557744553,19.41928685,22.92932557,1.532493796,5.651809384,,2.811877916,2.650625146,76.09581757,89.85767954,1.57847304,3.913083163
67,,16.68481843,2.423041984,4.062343319,1.589382044,19.69035309,23.01901681,1.55542282,5.849142752,,2.734483837,2.754101391,67.47000122,89.92453841,1.620370704,3.801954877
68,,17.9373265,2.190978079,3.716497133,1.465739671,20.80704994,22.52674996,1.383771108,5.318276882,,3.12691907,2.84701792,,91.82034307,1.593629956,3.538438551
69,,21.18014192,2.516874997,4.818155898,,21.36884059,21.44571772,,5.661527775,,3.526179075,2.910906048,,94.21498149,,
70,,26.82932379,1.544778076,2.695014836,0.59179379,,22.68994331,,5.355504598,,1.003376528,,,61.37221235,1.391001701,4.343082428
71,,27.91366689,1.482638744,2.7309999,0.827959596,15.98999977,22.37314083,1.215120182,5.332324817,,1.153344814,2.216841833,,71.05616866,1.366312744,4.36332838
72,2.188492537,21.06629744,1.509717479,2.81822186,0.938196558,15.98999977,22.50141301,1.297155802,5.21480827,,1.24723249,1.994316297,,82.47312252,1.378350311,4.556807453
73,2.385547161,19.96643772,1.502690154,3.039819396,1.271536289,16.15092277,22.18170261,1.270912582,5.058950281,,1.577461022,1.995413542,,94.83921256,1.362128765,4.419567805
74,2.314015165,17.95313335,1.647286498,3.454106556,1.305524851,16.3667283,22.53111335,1.206135839,4.610959204,,1.904561885,2.260885669,,92.6892587,1.490124305,4.402243016
75,,18.37107158,1.745017226,3.486907507,1.357896054,17.04459133,22.44476155,1.128063007,4.72517605,,2.007015094,2.301317284,,93.00912996,1.457185546,4.139211582
76,,18.72623556,1.904297434,3.589782824,1.282153273,19.34080246,22.6609458,1.012519261,4.905967479,,2.212385635,2.466663987,,91.90697755,1.574962203,4.238449873
77,,18.91743463,2.005872574,3.566141334,1.379441701,19.36036637,22.76857353,1.001148074,5.055100318,,2.357221351,2.714847942,,90.73297913,1.593629956,4.214267616
78,,19.02793655,1.947443467,3.482289467,1.522369146,20.20462961,22.68273641,,5.178348902,,2.33719537,2.819921248,,94.23748718,1.593629956,3.095324087
79,,22.41753617,2.083354064,3.83548419,,20.60498773,28.19429207,,5.083037523,,2.092299302,2.823948383,,98.44756206,,
80,,38.89641953,0.960871674,,0.559890764,,,,5.93348217,,0.85536311,,,55.714077,,
81,,38.54614962,1.252947016,2.688602924,0.810682949,,21.73073578,,5.90163079,,1.03882005,2.252711535,,88.74197846,1.194114415,
82,2.57030946,34.98193067,1.260801709,2.714623216,0.759734452,,22.05047162,1.20047157,5.747088917,,1.015672026,,,89.52756666,1.366687227,4.614870882
83,,34.56515358,1.627639926,2.920341378,1.071499526,15.95521925,21.99142423,1.132623308,5.503938266,,1.214049919,2.024308867,,101.0213737,1.393464313,4.739428343
84,,33.997635,1.572275604,3.066682803,1.047628612,16.39477329,22.15176258,1.138216983,5.450856068,,1.2476572,2.209636986,,96.16482126,1.440789173,4.289385835
85,,35.77985051,1.730427111,2.905936081,1.173745383,16.82316586,21.8661618,1.183564624,5.543938607,,1.249903386,2.073639575,,111.7874941,1.369484667,4.151969371
86,,25.84474484,1.845586101,3.468994304,1.257271671,17.07453722,22.28571021,1.059403732,4.91138193,,1.885051448,2.142324852,,103.5991218,1.575849231,4.175587823
87,,19.74795907,2.073352513,3.805413066,1.234444474,18.10384509,22.85673141,0.978702435,4.798393142,,1.968581203,2.517176459,,100.6571839,1.246614118,2.978973627
88,,26.37604433,2.089236897,3.777038475,,20.70501234,,,4.840832781,,1.791778684,,,101.3119166,,
89,,30.23184824,2.041867876,3.388887882,,21.65559705,,,4.805751165,,,,,100.2520224,,
92,,,0.95176512,,0.600000024,,,,,,1.286740184,,,,,
93,,,,,,,,,,,,,,,,
