ADM0_A3,maize_ratio,soybean_ratio,wheat_ratio
AFG,14.37672176,62.5,17.56407066
ALB,32.68,50.07655073,32.55263158
DZA,5,59.9981385,17.5
AND,46.41036451,50.07655073,47.81043884
AGO,5.055473373,17.5,92.5
ATG,17.5,57.54648841,38.52704891
ARG,33.41322396,62.49075026,47.46423927
ARM,32.17567568,50.07655073,17.61029412
AUS,55.65049986,77.69337826,62.5
HMD,48.48061544,77.69337826,68.36337761
NFK,48.48061544,77.69337826,68.36337761
AUT,81.89205955,92.17153285,62.53184713
AZE,18.61486486,26.5,17.6978022
BHR,50.97974743,59.9981385,45.44188049
BGD,17.5,32.5,69.14069661
BRB,25.20661258,57.54648841,38.52704891
BLR,32.52700756,32.5,17.68736617
BEL,92.16542751,50.07655073,77.54
BLZ,47.24576271,62.86585366,38.52704891
BEN,17.5,17.5,17.5
BTN,17.69230769,19.19811321,18.77962085
BOL,17.57044199,47.58888889,17.55258545
BIH,32.5,32.58474576,32.5
BWA,5.238269795,47.5,27.5
BRA,32.48732104,62.48841152,47.46547188
BRN,33.75455131,38.6763255,32.65458092
BGR,32.68309859,47.5,32.52710027
BFA,17.5,59.375,41.82082487
BDI,16.98770492,17.5,17.5
CPV,15.3684426,33.02306387,41.82082487
KHM,32.5,32.68382353,32.65458092
CMR,32.26622787,19.80769231,41.82082487
CAN,64.35489276,62.5,62.49757164
CAF,17.55134788,17.5,41.82082487
TCD,5.265196663,33.02306387,41.82082487
CHL,62.5,57.54648841,47.5
CHN,47.46940612,47.48561543,47.46724647
HKG,52.39078115,51.23037822,47.49181162
COL,32.49274486,62.48364231,32.5
COM,15.3684426,33.02306387,41.82082487
CRI,32.5,57.54648841,38.52704891
HRV,33.51351351,32.82012195,32.5
CUB,17.5,57.54648841,38.52704891
CYP,46.41036451,50.07655073,39.7
CNM,46.41036451,50.07655073,47.5
CZE,77.5,50.07655073,47.75751073
COD,17.48840206,17.5039185,17.5
DNK,46.41036451,50.07655073,92.44652406
FRO,46.41036451,50.07655073,47.81043884
GRL,46.41036451,50.07655073,47.81043884
DJI,17.5,33.02306387,41.82082487
DMA,25.20661258,57.54648841,38.52704891
DOM,17.5,57.54648841,38.52704891
TLS,18.73287671,18.73287671,32.65458092
ECU,17.56751688,47.5,17.7020202
EGY,47.5,59.9981385,92.5
SLV,17.5,62.41176471,38.52704891
GNQ,15.3684426,33.02306387,41.82082487
ERI,17.45519713,33.02306387,31.72413793
EST,46.41036451,50.07655073,32.5
SWZ,17.5,33.02306387,62.5
ETH,17.46498599,92.5,17.5
FSM,48.48061544,77.69337826,68.36337761
FJI,32.5,77.69337826,68.36337761
ALD,46.41036451,50.07655073,92.5
FIN,46.41036451,50.07655073,92.42
FRA,76.6749733,77.5,79.65507125
PYF,46.41036451,50.07655073,47.81043884
ATF,46.41036451,50.07655073,47.81043884
NCL,47.5,50.07655073,47.81043884
MAF,46.41036451,50.07655073,47.81043884
SPM,46.41036451,50.07655073,47.81043884
WLF,46.41036451,50.07655073,47.81043884
GAB,32.5,32.5,41.82082487
GMB,17.5,33.02306387,41.82082487
GEO,17.69067797,17.5,17.70797227
DEU,92.46498395,92.5,77.49659555
GHA,17.5,32.5,41.82082487
GRC,77.03173777,47.5,47.36702128
GRD,25.20661258,57.54648841,38.52704891
GTM,17.69329897,77.35049834,38.52704891
GIN,17.4589491,25,41.82082487
GNB,5.208333333,33.02306387,41.82082487
GUY,17.60215664,62.5,38.52704891
HTI,5.413907285,57.54648841,38.52704891
HND,17.5,47.66666667,38.52704891
HUN,47.60909091,62.33064516,32.63636364
ISL,46.41036451,50.07655073,47.81043884
IND,18.70570966,33.32997832,56.95770141
IDN,47.50186081,47.3564436,32.65458092
IRN,47.38862639,59.9981385,32.40449088
IRQ,17.53232759,59.9981385,5.109561753
IRL,46.41036451,50.07655073,92.5
ISR,88.5,59.9981385,23.5
PSX,92.5,59.9981385,52
ITA,65.69412575,77.51891551,60.87549407
CIV,17.5,32.51802163,41.82082487
JAM,17.5,57.54648841,38.52704891
JPN,52.39078115,62.5,62.5
JOR,90.67073171,59.9981385,47.31707317
KAS,17.25278069,33.45571524,39.9425725
KAB,46.41036451,50.07655073,47.81043884
KAZ,19.00202977,32.56147541,47.39432861
KEN,17.4744898,32.5,17.58426966
KIR,48.48061544,77.69337826,68.36337761
KOS,32.5,47.5,32.5
KWT,92.5,59.9981385,84.16666667
KGZ,46.07142857,50.07655073,17.61244378
LAO,32.56019262,47.27941176,40
LVA,32.5,50.07655073,32.48367791
LBN,50.97974743,59.9981385,62.5
LSO,5.583333333,47.5,20.98484848
LBR,17.5,17.5,41.82082487
LBY,50.97974743,59.9981385,12.19101124
LIE,46.41036451,50.07655073,47.81043884
LTU,32.5,50.07655073,32.56936416
LUX,91.78571429,50.07655073,77.5
MKD,24.96376812,50.07655073,32.64778325
MDG,17.5,33.02306387,62.5
MWI,17.15334421,32.5,47.5
MYS,62.43562232,47.5,32.65458092
MDV,17.25278069,33.45571524,39.9425725
MLI,17.5,59.66981132,32.5
MLT,46.41036451,50.07655073,62.5
MHL,48.48061544,77.69337826,68.36337761
MRT,5.382653061,33.02306387,41.82082487
MUS,15.3684426,33.02306387,41.82082487
MEX,32.54122441,62.52601908,92.4093199
MDA,18.07397959,18.42307692,18.1505102
MNG,32.5,38.6763255,32.50428204
MNE,32.5,46.21428571,32.5
MAR,5,59.9981385,9.32194617
MOZ,5.086465299,59.5,92.5
MMR,23.26369863,32.60869565,25.46
NAM,17.08158996,33.02306387,91.28378378
NRU,48.48061544,77.69337826,68.36337761
NPL,17.5,17.9789272,33.14881565
ABW,46.41036451,50.07655073,47.81043884
CUW,46.41036451,50.07655073,47.81043884
NLD,92.5,50.07655073,92.29357798
COK,48.48061544,77.69337826,68.36337761
NZL,74.25257732,77.69337826,74.22675522
NIU,48.48061544,77.69337826,68.36337761
NIC,17.53841229,62.32718894,38.52704891
NER,17.5,17.5,17.5
NGA,17.53401361,17.5,19.15584416
PRK,17.78156997,27.07198444,20.96320346
CYN,46.41036451,50.07655073,45.68181818
NOR,46.41036451,50.07655073,92.5
OMN,50.97974743,59.9981385,92.5
PAK,17.49472574,35.22727273,44.06452979
PLW,48.48061544,77.69337826,68.36337761
PAN,32.5,57.54648841,38.52704891
PNG,62.5,77.69337826,68.36337761
PRY,17.55841821,62.46822995,32.52462043
PER,32.42685475,47.5,32.45967742
PHL,32.5,38.6763255,32.65458092
POL,50.77790974,32.5,32.59959142
PRT,49.20537897,50.07655073,32.6517067
QAT,92.5,59.9981385,47.5
SRB,32.28609626,47.33940043,32.30582524
COG,18.33098592,30.75581395,41.82082487
ROU,19.65432649,47.38994864,21.01077051
RUS,32.49217437,32.51346768,32.54304401
RWA,5.073964497,17.5,17.5
KNA,25.20661258,57.54648841,38.52704891
LCA,25.20661258,57.54648841,38.52704891
VCT,25.20661258,57.54648841,38.52704891
WSM,48.48061544,77.69337826,68.36337761
STP,15.3684426,33.02306387,41.82082487
SAU,50.97974743,59.9981385,77.44413408
SEN,17.33413752,33.02306387,41.82082487
SYC,15.3684426,33.02306387,41.82082487
SLE,17.5,17.5,41.82082487
SGP,33.75455131,38.6763255,32.65458092
SVK,47.5,33.02325581,32.53018109
SVN,48.18627451,61,33.54046243
SLB,48.48061544,77.69337826,68.36337761
SOM,17.5,33.02306387,41.82082487
SOL,17.5,33.02306387,32.5
ZAF,17.47113831,47.5,58.10242552
KOR,32.48383621,32.5,32.5
SDS,5.189873418,34.80769231,26.5
ESP,85.35017222,77.5,54.77211934
LKA,17.5,33.45571524,39.9425725
SDN,5.011165699,33.02306387,32.45726496
SUR,17.5,57.54648841,38.52704891
SWE,46.41036451,50.07655073,92.5
CHE,92.24789916,92.13414634,63.31081081
SYR,18.64893617,59.9981385,32.61606314
TWN,77.21910112,62.43589744,47.5
TJK,17.46975806,50.07655073,11.91422594
THA,32.49559342,47.41321762,29.5
BHS,32.5,57.54648841,38.52704891
TGO,17.5,17.5,41.82082487
TON,48.48061544,77.69337826,68.36337761
TTO,25.20661258,57.54648841,38.52704891
TUN,50.97974743,59.9981385,32.32843137
TUR,47.49609477,59.9981385,32.49635085
TKM,17.57712082,62.5,32.34745763
TUV,48.48061544,77.69337826,68.36337761
UGA,17.45713306,32.38047809,17.5
UKR,32.45904747,32.46530073,32.41660571
ARE,50.97974743,59.9981385,92.5
WSB,46.41036451,50.07655073,70
AIA,46.41036451,50.07655073,47.81043884
IOT,46.41036451,50.07655073,47.81043884
CYM,46.41036451,50.07655073,47.81043884
ESB,46.41036451,50.07655073,47.81043884
FLK,46.41036451,50.07655073,47.81043884
GGY,46.41036451,50.07655073,47.81043884
IMN,46.41036451,50.07655073,47.81043884
JEY,46.41036451,50.07655073,47.81043884
MSR,46.41036451,50.07655073,47.81043884
SHN,46.41036451,50.07655073,47.81043884
SGS,46.41036451,50.07655073,47.81043884
TCA,46.41036451,50.07655073,47.81043884
GBR,46.41036451,50.07655073,86.94036697
TZA,17.73428233,17.5,32.5
ASM,49.5841569,62.5,55.0019233
GUM,49.5841569,62.5,55.0019233
MNP,49.5841569,62.5,55.0019233
PRI,17.5,62.5,55.0019233
UMI,49.5841569,62.5,55.0019233
USA,66.89757794,62.5,47.50627497
URY,17.69230769,33.02941176,17.69255456
UZB,17.89426523,50.07655073,32.21655329
VUT,17.5,77.69337826,68.36337761
VEN,33.62833545,57.54648841,38.52704891
VNM,39.02864992,47.44047619,47.5
SAH,15.3684426,33.02306387,41.82082487
YEM,17.5,59.9981385,17.5
ZMB,17.39386022,32.39655172,92.04887218
ZWE,17.47895623,62.5,92.5
SMR,65.69412575,77.51891551,60.87549407
MCO,76.6749733,77.5,79.65507125
VAT,65.69412575,77.51891551,60.87549407
